title,link,source_name,date_found,url
Hedging Its Bets: Serbia Between Russia and the EU - Carnegie Endowment for International Peace,https://news.google.com/rss/articles/CBMiugFBVV95cUxPeUFvalBGbU1RcXo4cXE5b1JIdElZVGY2S0NCY09oZlVmWFF2RDNCZVZuRHhXNUkzNkNfc3V4SndfWkJSZHVRRFdKbGZpZGxCNHJDT2hLeHY2bEpTMGFuYm5fREE2MHp5YWo0ajJ3UmstNUFxNHRwaUhMa0FfaHpIXzUydk9HR09URldSZDRJUi0wSUwwWjRIdjJZSVZOQVRlY2pWeEtUTDYzQkdTZGFzTGhxY3E5aXpEenc?oc=5,Carnegie Endowment for International Peace,2023-01-19,https://carnegieendowment.org/research/2023/01/hedging-its-bets-serbia-between-russia-and-the-eu?center=europe&lang=en
Trust and Compromise Return to EU-UK Relations - Carnegie Endowment for International Peace,https://news.google.com/rss/articles/CBMitwFBVV95cUxNVVZBa2JiRjlIdldGdVBlMjdUUnRWRWZjM0RhejY1Nkh0a3hqMUZyZXJIMEl1c19IZGdPcWV6RjhqQk12ZFNNNUZDRmw2Rk4tdzUzNHY5U2pmWS1xTkNXSEdzdF9HN2VadjFLYmFDQXdRR1JrUzkzakRqSTdVQTV6aDJ0cTREUWk3R2xKaTJwYzBqLV9YS0pwemNsajF3VW5ITlVlSG5rci1lV1ktSE5VYlQ4SWxxdzA?oc=5,Carnegie Endowment for International Peace,2023-03-09,https://carnegieendowment.org/europe/strategic-europe/2023/03/trust-and-compromise-return-to-eu-uk-relations?lang=en
"US, EU allies scold Kosovo for escalating tensions with Serbia - POLITICO Europe",https://news.google.com/rss/articles/CBMikwFBVV95cUxNX284UnpHWmFGRW5UQlZYZkh3b0ZzdjB3cFZnUE5aUmx6SXM0dFZDWm52MFcwVmtwNTJKNy1WdUM4RkhWcDRibzRoUUVnZWUxYVBiVVlkN1hqZlppanVPVjItUUhVcGNlTzdCemttX3pLcFhzNmtZZUs1eTBWR3lUSkNmZ0hmb1l2Umc3T0U4N3JFQ2s?oc=5,POLITICO Europe,2023-05-27,https://www.politico.eu/article/us-eu-allies-scold-kosovo-for-escalating-tensions-serbia/
Violence in northern Kosovo: The United States’ failed bet on Serbia - European Council on Foreign Relations,https://news.google.com/rss/articles/CBMilgFBVV95cUxNX1lEN1dpWnVxOUJPM3Z5UXJHSGNyZlk3aVNaN1pONnRjcW1XQlNLblNxbERUc3dkcnlGaXUyRm5tQVg2VmZBRU9mRkU4bnNDdFBuTGZuOHVSYWtoT3FILXp3MHJaejVUTnJFcWl3dUJqdkZVbmpDaU4xd281SVBRaGdVTFp0SktpNGxnUFJVRzVGVVB2eUE?oc=5,European Council on Foreign Relations,2023-06-01,https://ecfr.eu/article/violence-in-northern-kosovo-the-united-states-failed-bet-on-serbia/
Turmoil in Kosovo Hurts Relations with US - Voice of America English News,https://news.google.com/rss/articles/CBMihwFBVV95cUxPaWRpMnI2QUpoQXdIdlFXcVNaTnZzTlotYmpXcUhWdWhabVBQdWppaklUWVhNb2w0NHowVHNZb295cE5YRWgxamRadlJKMXVaZGRaZWk1aHYyYTF5bVRBNnVVcFk2TGIwaG9KM2VTRWZFNnhYTkgycnRwbENBQ2E4WTIzZzJBc3fSAYoBQVVfeXFMT2p1MV9EcjlTNFd4THlEbDBaWWFLb19Edldsekd1LTQ3TkRLcEprdGZqcTItN2p0N3ZIaWVnZmdPcmRnSmJHQ0FaemNvdHg2cTJ4M3ZNbngzemt2dFgwREVSMnZQMUx2djV1Qm1DZndGU20yQS1fX3hORExDNUJaNm1ZOE1kSVVJUzBB?oc=5,Voice of America English News,2023-06-02,https://www.voanews.com/a/turmoil-in-kosovo-hurts-relations-with-us/7119784.html
UNITED STATES/SERBIA : Belgrade quietly builds rapprochement with US as Ukraine war continues - 12/06/2023 - Intelligence Online,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNWUNPVWtNR2R0ME8wMXN0cHZyNlBZUWFON0hZSjZRWXh5Um9UcDlfT1piT08yRlAtVkpVb3QyT182YzNvc1NnMGxWTHJnclJQSFBJTkVqYnVjZnlNeUVDNEotaGs0QkRDbmVZTXJkYmVaeVJialZpSHJ1cUh1MGNsbmt1WnRYRXpvQ01fXzRueWRoMl9iNG91YUtzTGozdTZVenl5TUhpTlpVUjlYQjhvYzRNYjR4MlVjMjNyYkJRaHdJWWVlSGhLRDlBTVkyRlMzUlR4UGN4Uk9seko3ajE0c0J4MVNSbHRaX2c?oc=5,Intelligence Online,2023-06-12,"https://www.intelligenceonline.com/government-intelligence/2023/06/12/belgrade-quietly-builds-rapprochement-with-us-as-ukraine-war-continues,109992729-eve"
Hokanson: Bilateral Defense Relations with Serbia on Positive Trajectory - National Guard Bureau,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPQ1NONHlIbkZHNTlVaWJkOG9wQUoyZ0FET1RCLUYwdEVZS2FXX0h1QkJORENMVm9CV0xvd1N4dXVFaF9BRTdwdUE2Vk9jbXBKUjhROV8xRFBzMGtSVGhERUtYcHAyVkF1UTJuWEwtd1NuenUyWDRkc2ZYZTdTWlJVTnFDZm1sSDRhRHA2MzVZbDRsUGJPck1rMVZBcjFqLVNnN3BCM3dlVGxLNXVSUngyVFZVTlV6aVBVUDQ0VXVtYVJqdEhGV1l2aUNWaW5fbEIxU0RLRW4tVnRkS1ZjbmFFWlUtTQ?oc=5,National Guard Bureau,2023-06-21,https://www.nationalguard.mil/News/State-Partnership-Program/Article/3434584/hokanson-bilateral-defense-relations-with-serbia-on-positive-trajectory/
The next European Union member is… - Atlantic Council,https://news.google.com/rss/articles/CBMikgFBVV95cUxNMFJ3eWhRNzhJd01jZldUd0pIeU1kSnpPWlZnNUpOS3RzSWtONncwR3hOV0ZtQnF2cVA0eHRfWHRaenJneFFzSndYSmhHdVI2OF81TU1VYTBHakhFVVc2MEFMWFVvanFwOE9EZTNvNnlfdUI0dHZYOGMwZ1g3VzVETFMzZ3hpNWQtbFFFVWZLakZhZw?oc=5,Atlantic Council,2023-06-30,https://www.atlanticcouncil.org/blogs/new-atlanticist/the-next-european-union-member-is/
Economic Relations between the Western Balkans and Non-EU Countries - swp-berlin.org,https://news.google.com/rss/articles/CBMiV0FVX3lxTE9iUnNrdjhLaU5rRG1YT3VGODVyRnlYbXFQV0pXS1FNYzFKNE1HbUdiQkJBQzN0OWY1Wm41WHBkYS1uc1dySElBT01KTEpjUW5nQ3lrb0dSMA?oc=5,swp-berlin.org,2023-07-07,https://www.swp-berlin.org/10.18449/2023C36/
Serbia’s Staged Balancing Act - Georgetown Journal of International Affairs,https://news.google.com/rss/articles/CBMid0FVX3lxTFBCMG5BdThRTE5WVHN3RU5EbTRtNm40SEZ6TEpBTDZlUERoeGhlUTlld3RHT2pTUW1mMnNXbjA5Y0xyM2VwelBFRER5MFNjSERQNnVhMWZEc2FBaGtVZUpPVGxFWW5TVkdSMlFCdVctZVg4NGdaRXZZ?oc=5,Georgetown Journal of International Affairs,2023-08-07,https://gjia.georgetown.edu/2023/08/07/serbias-staged-balancing-act/
"Chairs of foreign affairs committees, MPs and MEPs urge US, UK and EU to reconsider approach to Kosovo and Serbia - European Western Balkans",https://news.google.com/rss/articles/CBMi7wFBVV95cUxNcFhJTGJkLXg1VzhkQ2toLThtSTN3bGVsRmNOWlZIOTgtOHZHTTJVd3FhVW1ZZmkzeUM5MlhCVWZLb2VubVMyd0t2RkR4SFFkQk1pX1VVTUpWczJTcldQb1daNVBmcTJxWVBDSmV4YjR4SUo5TFdWd0h4N0w3TVVWVF9QWW5mS29rNUQyWlNHMVdLZGNOc1RwT3dwLWpINWNfam9JZ3Y5MHJMeGtSa1lBOFJRUXZJdHJGVEx6c0d2WWU2dVRnUEZMV2E3WHc3NTFaVUlvVkR6SWxQTmw3WXNwVEQtVlhjN2VpWmhadktBbw?oc=5,European Western Balkans,2023-08-07,https://europeanwesternbalkans.com/2023/08/07/chairs-of-foreign-affairs-committees-mps-and-meps-urge-us-uk-and-eu-to-reconsider-approach-to-kosovo-and-serbia/
Serbia determined to continue strengthening cooperation with UK - srbija.gov.rs,https://news.google.com/rss/articles/CBMirAFBVV95cUxOMzRDa3IzY1Fyc1pINlk5VnFaTlZncGU3dlhCemw1aVN1aUs5c2RHVnZRVHlTbjZWRkZkZUZyeDRLWmpLNFBmWl9xQm9sSGxLYjBfZ2tqbC1Rek5xUlFKdXNTWnBDWHVMSjNFa1ZuZ0RMYXdnM2tYbldibURjdHNYb0RCQjNSWDNxWENhUmJGLWtmcWprRVh4bnNYa1VXMUpmU1lxaFdzXy1YSnV3?oc=5,srbija.gov.rs,2023-08-09,https://www.srbija.gov.rs/vest/en/211020/serbia-determined-to-continue-strengthening-cooperation-with-uk.php
Is the West Changing Its Policy on Serbia? - Voice of America English News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQRm9JSWxZeHM2S3ZrLWtRUkhCbk9NM1lMeEkzSnI2bEJwMHZjWGczVUNNc19HMDZ6RldIcnVyckhERHZSTEFzMEg3RzROSGtUdFlkNEdsOC0zbkpEQjFQZXItekh5MC0tbTM2VkdzU0FLSzVjQ2FhNnAtZm5mdkxpbVZ1UW4xZ0950gGLAUFVX3lxTE56Ulk3LUFXcnJOU3hGeDlFUlYyOEU0T2pPcmllMnVYSEpZNGctcGpZT1F1SVZiVzJuemlVVWRqS0dOZnp0TzhsNzYwOFBwQWk4ekdnR2RQTmhpcjlCWjM4NUhxLTNWdmUteHc4eDdJcW5zVHh3eE9fQkJtUmpBRVFLcjZRMWV5cXctY0U?oc=5,Voice of America English News,2023-09-01,https://www.voanews.com/a/is-the-west-changing-its-policy-on-serbia-/7250494.html
Kosovo: Why have tensions flared up with Serbia and why are British troops being sent there? - Sky News,https://news.google.com/rss/articles/CBMikwFBVV95cUxPQ0RxOU5keF9aNTJQb0NLQnlpdGpSTzJqcms1dDJ6ekpTVi1vVWVCQ2RlSUNpcjRHc3UxMl84WFBhYnVRLUVhR0xyUlBYcFBfTm4xV1YzSmpMWVlTMHBwZ3RTdUZnc3lvcjJUclNGVXpDdy1zMDI5azFraUphX3hNZHpJb25ZS1FQUUFhT2dUUkRaaFnSAZgBQVVfeXFMTkx2d0FkU3B6QXo4Ri1JTGItaExzMnFod20wVDRQWHlQbWZ5WGNxQUVOeU9abjdrR0lMbVBFeE9sdGg0ZjFQOUFlMWEwVW52OXkyXzRQSXdUTEE3RmZ0ZDBWSGQ4V0RMMmpka1lIOTNGQ05IRFp4Q0JiOUU1NmhZMXdSd2pudU5oSHBMbFJHZTc2aDAtMHk3Vl8?oc=5,Sky News,2023-10-02,https://news.sky.com/story/why-have-tensions-flared-up-between-serbia-and-kosovo-12892946
Minister Vučević Meets Newly Appointed Ambassador of the United Kingdom of Great Britain and Northern Ireland - Министарство одбране,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPU0cxVG16cHRYbTR4b2RFdUZKR2hqZnZSYmY3SjllUXl2WHNfTFlzblo4R1RQMGk3NVpSZXJEQzRaX0pOS1g3Szd3bzU4TE1iNzUtSHYxR0ZMX1dtX1hMd21hd1pDM1JBRzdyQlRiT3FDY0QweFZjX2x6MEhrTmVhM0lLT01FYzN1OXRBMTlZMjRsWW9DXzI0RjhWU3doQlZmNE1JVGpCVFMwZllwc2RSV0xuMWZNLXJrZm5GRElucmdJTEVKQ0VGRUZxMS1CRkM2LWxOalItaVlOVUJBUEhPY1didTFTdw?oc=5,Министарство одбране,2023-10-03,https://www.mod.gov.rs/eng/20536/sastanak-ministra-vucevica-sa-novoimenovanim-ambasadorom-ujedinjenog-kraljevstva-velike-britanije-i-severne-irske20536
The normalisation of relations between Kosovo and Serbia is vital: UK statement at the UN Security Council - GOV.UK,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdkhRaFB3LVdFTUE5YmtSUDdnc2hjWlJ4c2JIcEp5bzVjOG1SUk54LWJoZjNLR3ZuUkdYR0xBTjFGVTEwZ1NqTlhLb20wVjlnb0pFYnZMVGZGdlNDTVFjUGQ0YUJ1SmYyOURRbjlYb1JfRmUwWWZhdGxmZDgtODVLTFpRN3hOb2RtVjVaS3hvQVk5dXpCU200S3pNeWxNN2xjeTdMQkh4M0xYSjZFc0lVX3hLZ0NWOWVNc1lmQWNrXzBDZk5CbGN1NzBveGdZdlR2eUY4SDU0QThxdWtz?oc=5,GOV.UK,2023-10-23,https://www.gov.uk/government/speeches/the-normalisation-of-relations-between-kosovo-and-serbia-is-vital-uk-statement-at-the-un-security-council
The Serbian Roots of Kosovo Turmoil - Australian Institute of International Affairs,https://news.google.com/rss/articles/CBMimgFBVV95cUxPTkl3bU1VR3pfZWxHcUZJU1M2ZW5vRFRjb2ZYYlNyN2NyUHRJSXh1NURMRjliZ2NTclNfbjc4ZnFQcTR5cDlHM2N0NDlGMGJUN3lCeDhfTF84UDdvX1BiTjJVWHB6TXNpUEh0TGtvVjE2dTJtd3dIM1VRRUNIaE1uV0YySnBhUHVqeXVscjhCSGk4V1FEMmh2dFZ3?oc=5,Australian Institute of International Affairs,2023-10-31,https://www.internationalaffairs.org.au/australianoutlook/the-serbian-roots-of-kosovo-turmoil/
"Ambassador of Thailand to Norway, hosted a Reception on the occasion of the Birthday Anniversary of His Majesty King Bhumibol Adulyadej The Great, Thai National Day, and Thai Father’s Day - กระทรวงการต่างประเทศ",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5UbHpOQ3lSNktXZEpfeTdHLTRqQm52TWlrMG9zVUR0Z29oMUlFdjllWkJZd1BLUXVGc2tiamtLM0d1UU1KU2xZQjVLWVNlejZRYWlCY1haUDJVVjRUOHhlUg?oc=5,กระทรวงการต่างประเทศ,2023-12-07,https://www.mfa.go.th/en/content/pr-oslo-12052023-4
The Implications of China-Serbia Relations for Kosovo - The Diplomat,https://news.google.com/rss/articles/CBMijwFBVV95cUxPWTkxRXlLcnh4by0xUk5DN0JsVGdJRmdCbFFIQUI4eWpUTG16M2RCUW5ueHZwR0R2Rk9JZkVDUUNZUW1xazhlUzJiM0VZWGJ2OTBycjJXYXV1Z21oOEx3d3lXaEpnaUpGRnJQbWp2RVpCMHhzSTJZZnlxeDJlZTV5dm45cGkxRnhjcUxjV3ZvUQ?oc=5,The Diplomat,2023-12-28,https://thediplomat.com/2023/12/the-implications-of-china-serbia-relations-for-kosovo/
"Bosnia, Serbia, United States Congressman Robert Aderholt, the Bosnian Serb lobbyists' friend in Washington - Intelligence Online",https://news.google.com/rss/articles/CBMi8AFBVV95cUxNMEw5WkxFb3VIaUg0YTQ3Q1RWMmxSdFhZQzJ0Z0tEamVKMUZDTlRmbTdOLVJZYkJ4WW9pMWtkRm1lNzFXN2dRUHZJc1dxeGk3RHVzcS1ybmt4VjFqZjhOM203eXJiTkU5cjVxNnNLT1l5NGJJVHgtc1pYWmMzcU4yZFlQRC1kMkJKem1kQWJJbUk4QTQ0Q0pHdnY1WTNiTWwtUF9sYUtEVUZMdFVtNngxZUZHY1FCX0M2UDRmcFNFVE40bzctbTk3bEQzODBrdi1URGdwc3hxT2hFLWJwY2k5MzBLcEEtUlJlTDcyNWhfVDk?oc=5,Intelligence Online,2024-01-08,"https://www.intelligenceonline.com/corporate-intelligence/2024/01/08/congressman-robert-aderholt-the-bosnian-serb-lobbyists--friend-in-washington,110135256-art"
