title,url,source_name,date_found
A driver rams an anti-government rally in Serbia's capital and injures one protester - Lufkin Daily News,https://lufkindailynews.com/anpa/international/university-students-lead-a-strike-in-serbia-as-populist-president-plans-a-rally-to-counter/article_643bc0b0-4add-5c71-9646-8bfab005164d.html,Lufkin Daily News,2025-01-24
A driver rams an anti-government rally in Serbia’s capital and injures one protester - The Associated Press,https://apnews.com/article/serbia-protests-vucic-belgrade-strike-jagodina-91718d6702f44488fe52a7231ddcaa88,The Associated Press,2025-01-24
Analysis: Serbian PM Milos Vucevic's Resignation May Not Stop Protests - Radio Free Europe / Radio Liberty,https://www.rferl.org/a/serbia-novisad-vucevic--vucic-protests/33291903.html,Radio Free Europe / Radio Liberty,2025-01-28
"Analysis: Vučić is still protected by the EU and the US, but his government is wavering - Vijesti.me",https://en.vijesti.me/amp/743391/The-analyses-of-the-wolf-are-still-guarding-the-EU-now%2C-but-his-power-is-wavering.,Vijesti.me,2025-01-31
Clock ticks as Serbia's ruling party must agree new PM or trigger election - Gulf Digital News,https://www.gdnonline.com/Details/1343324/Clock-ticks-as-Serbias-ruling-party-must-agree-new-PM-or-trigger-election,Gulf Digital News,2025-01-29
Clock ticks as Serbia's ruling party must agree new PM or trigger election - Yahoo News UK,https://uk.news.yahoo.com/clock-ticks-serbias-ruling-party-131150118.html,Yahoo News UK,2025-01-29
Driver rams anti-government protesters in Serbia - Sky News,https://news.sky.com/video/driver-rams-anti-government-protesters-in-serbia-13296737,Sky News,2025-01-25
Driver rams anti-government rally in Serbia’s capital and injures one protester - MSN,https://www.msn.com/en-us/news/world/driver-rams-anti-government-rally-in-serbia-s-capital-and-injures-one-protester/ar-AA1xO6Ah,MSN,2025-01-25
Encrypted Chats Expose Rival Factions Around Serbia’s Ruling Party - OCCRP,https://www.occrp.org/en/news/encrypted-chats-expose-rival-factions-around-serbias-ruling-party,OCCRP,2025-01-31
EU criticized for staying silent on momentous protests in Serbia - European Western Balkans,https://europeanwesternbalkans.com/2025/01/29/eu-criticized-for-staying-silent-on-momentous-protests-in-serbia/,European Western Balkans,2025-01-29
Government Crisis in Serbia: Vucic to Decide on Elections Within Days - Novinite.com,https://www.novinite.com/articles/230566/Government+Crisis+in+Serbia%3A+Vucic+to+Decide+on+Elections+Within+Days,Novinite.com,2025-01-29
"In pictures: Schools, theatres shut in Serbia amid anti-government protests - The Indian Express",https://indianexpress.com/photos/world-news/pictures-schools-theatres-shut-serbia-anti-government-protests-9797586/,The Indian Express,2025-01-24
"In Serbia, Mounting Anti-Government Protests Threaten President Vucic's Rule - Stratfor Worldview",https://worldview.stratfor.com/article/serbia-mounting-anti-government-protests-threaten-president-vucics-rule,Stratfor Worldview,2025-01-29
Kosovo conflict - Britannica,https://www.britannica.com/event/Kosovo-conflict,Britannica,2025-01-24
"NUNS condemned the statement of SNS and supported the liberation of RTS from ""political influence"" - kossev.info",https://kossev.info/en/kosovo-online-najnovije-vesti-nuns-osudio-saopstenje-sns-a-i-podrzao-oslobadjanje-rts-a-od-politickog-uticaja/,kossev.info,2025-02-03
Protesters block bridges in Serbia's Novi Sad over November train disaster - News.Az,https://news.az/news/protesters-block-bridges-in-serbia-s-novi-sad-over-november-train-disaster,News.Az,2025-02-01
Protesters descend on Serbia’s Novi Sad ahead of anti-govt protests - TVP World,https://tvpworld.com/84791966/protesters-descend-on-serbias-novi-sad-ahead-of-anti-govt-protests,TVP World,2025-02-01
"Protesters in Serbia are fed up with government corruption, expert says - TVP World",https://tvpworld.com/84729883/protesters-in-serbia-are-fed-up-with-corruption-expert-says,TVP World,2025-01-28
Serb President Seeks Government Reshuffle to Calm Protests - Bloomberg,https://www.bloomberg.com/news/articles/2025-01-27/protesters-rally-in-serbia-s-capital-in-challenge-to-vucic-rule,Bloomberg,2025-01-28
Serbia country profile - BBC.com,https://www.bbc.com/news/world-europe-17907947,BBC.com,2025-01-28
Serbia PM Milos Vucevic quits after months of mass protests - BBC.com,https://www.bbc.com/news/articles/c1m5x1j3p2yo,BBC.com,2025-01-28
Serbia PM Miloš Vučević Resigns Amid Canopy Collapse Protests - Lawyer Monthly Magazine,https://www.lawyer-monthly.com/2025/01/serbia-pm-milos-vucevic-resigns-amid-canopy-collapse-protests/,Lawyer Monthly Magazine,2025-01-28
Serbia protests: What's next after prime minister resigns? - DW (English),https://www.dw.com/en/serbia-protests-whats-next-after-prime-minister-resigns/a-71438997,DW (English),2025-01-28
"Serbia: citizens occupy Novi Sad bridges, demanding justice from the government - Zeta Luiss",https://zetaluiss.it/2025/02/02/serbia-citizens-occupy-novi-sad-bridges-demanding-justice-from-the-government/,Zeta Luiss,2025-02-02
Serbia: Prime minister resigns amid ongoing protests - DW (English),https://www.dw.com/en/serbia-protests-pm-steps-down-students-protests/a-71430793,DW (English),2025-01-28
Serbia: Serbian university students continue protests against the government - MSN,https://www.msn.com/en-xl/news/other/serbia-serbian-university-students-continue-protests-against-the-government/vi-AA1xYIYQ,MSN,2025-01-28
Serbia’s Government in Turmoil: PM Steps Down Amid Growing Protests - Novinite.com,https://www.novinite.com/articles/230555/Serbia%E2%80%99s+Government+in+Turmoil%3A+PM+Steps+Down+Amid+Growing+Protests,Novinite.com,2025-01-28
Serbia’s Mass Protests Against a Crony-Capitalist Government - Jacobin magazine,https://jacobin.com/2025/02/serbia-protests-novi-sad-railway,Jacobin magazine,2025-02-01
Serbia’s PM Milos Vucevic resigns as protests raise political pressure - Al Jazeera English,https://www.aljazeera.com/news/2025/1/28/serbias-pm-milos-vucevic-resigns-as-protests-raise-political-pressure,Al Jazeera English,2025-01-28
Serbia’s PM resigns after student protests linked to government corruption – Europe live - The Guardian,https://www.theguardian.com/world/live/2025/jan/28/denmark-greenland-mette-frederiksen-donald-trump-europe-latest-live-news?filterKeyEvents=false&page=with%3Ablock-679895108f08e45494d4e931,The Guardian,2025-01-28
Serbia's PM Resigns Following Deadly Canopy Collapse Protests - Newsweek,https://www.newsweek.com/serbia-pm-resigns-bus-shelter-tragedy-protests-2021892,Newsweek,2025-01-28
Serbia’s PM Vučević steps down over mega student-led protests - POLITICO Europe,https://www.politico.eu/article/serbia-pm-milos-vucevic-steps-down-student-led-demonstrations/,POLITICO Europe,2025-01-28
Serbia's populist PM Vucevic steps down after months of anti-corruption protests - FRANCE 24 English,https://www.france24.com/en/europe/20250128-serbia-pm-vucevic-steps-down-months-anti-corruption-protests,FRANCE 24 English,2025-01-28
Serbia's president addresses mass rally he called to counter anti-government protests - Yahoo! Voices,https://www.yahoo.com/news/serbias-president-addresses-mass-rally-220522233.html,Yahoo! Voices,2025-01-24
Serbia’s prime minister resigns after weeks of mass protests - Financial Times,https://www.ft.com/content/b9eb2d5d-613c-4b5c-88d3-61b72cd6ea81,Financial Times,2025-01-28
Serbia's prime minister resigns as anti-corruption protests grow - ABC News,https://abcnews.go.com/International/wireStory/serbias-prime-minister-resigns-anti-corruption-protests-grow-118170680,ABC News,2025-01-28
Serbia’s Prime Minister Resigns as Mass Protests Rock Country - Balkan Insight,https://balkaninsight.com/2025/01/28/serbias-prime-minister-resigns-as-mass-protests-rock-country/,Balkan Insight,2025-01-28
"Serbia's schools, bookshops and theatres shut in anti-government protest - Reuters",https://www.reuters.com/world/europe/serbias-schools-bookshops-theatres-shut-anti-government-protest-2025-01-24/,Reuters,2025-01-24
Serbia's students vow more anti-graft protests despite PM resignation - Yahoo Singapore News,https://sg.news.yahoo.com/serbian-prime-minister-resigns-months-134452064.html?guccounter=1&guce_referrer=aHR0cHM6Ly9uZXdzLmdvb2dsZS5jb20v&guce_referrer_sig=AQAAAHtOVNkaKo7VQpQXZt5TdEI3vZe2sZ7mqigeosE1zQfiqaNJGHOa_XpmJUTYsZV2CxkQo-7KJqT6WdqQAE9LwF7vUdxjJXmPcb0jGUPjgkwZ9AkdYJioce-2ZSwoYxXwW0Uu1uQQoUkIPuYbp5hxLundvgjWI_Ks9TwdjSFlqQcI,Yahoo Singapore News,2025-01-28
Serbia's Vucic calls for govt reshuffle amid mass protests - SeeNews,https://seenews.com/news/serbias-vucic-calls-for-govt-reshuffle-amid-mass-protests-1269931,SeeNews,2025-01-28
Serbia's Vucic says decision on potential parl elections to be taken in 10 days - SeeNews,https://seenews.com/news/serbias-vucic-says-decision-on-potential-parl-elections-to-be-taken-in-10-days-1269985,SeeNews,2025-01-29
"Serbia's Vucic Weighs New Government, Snap Elections Amid Disarray - Radio Free Europe / Radio Liberty",https://www.rferl.org/a/serbia-vucic-protest-novisad-belgrade-vucevic-election/33292715.html,Radio Free Europe / Radio Liberty,2025-01-29
Serbian farmers join striking university students’ 24-hour traffic blockade in Belgrade - CityNews Halifax,https://halifax.citynews.ca/2025/01/27/serbian-farmers-join-striking-university-students-24-hour-traffic-blockade-in-belgrade-2/,CityNews Halifax,2025-01-27
Serbian farmers join striking university students’ 24-hour traffic blockade in Belgrade - The Indian Express,https://indianexpress.com/article/news-today/serbia-farmers-join-university-students-traffic-blockade-belgrade-9802580/,The Indian Express,2025-01-27
Serbian government coalition holds an extraordinary meeting after the resignation of the Prime Minister - ProtoThema,https://en.protothema.gr/2025/01/28/serbian-government-coalition-holds-an-extraordinary-meeting-after-the-resignation-of-the-prime-minister/,ProtoThema,2025-01-28
"Serbian Leader, Trying to Quell Protests, Jettisons a Key Ally - The New York Times",https://www.nytimes.com/2025/01/28/world/europe/serbia-vucic-prime-minister-resigns.html,The New York Times,2025-01-28
Serbian PM announces resignation - Xinhua,https://english.news.cn/europe/20250128/2ef332c3928b4755b0dac17b53ba0a33/c.html,Xinhua,2025-01-28
Serbian PM resigns after student protests over train station tragedy - Agencia EFE,https://efe.com/en/latest-news/2025-01-28/serbian-pm-resigns/,Agencia EFE,2025-01-28
Serbian PM Resigns in Government Reshuffle To End Blockades - The European Conservative,https://europeanconservative.com/articles/news/serbia-plans-to-end-blockades-with-massive-government-reshuffle/,The European Conservative,2025-01-28
Serbian president hints at snap election after prime minister quits amid protests - Reuters,https://www.reuters.com/world/europe/serbias-pm-resign-popular-protests-persist-tanjug-news-agency-2025-01-28/,Reuters,2025-01-29
Serbian president hints at snap election after prime minister quits amid protests - Reuters,https://www.reuters.com/world/europe/serbias-pm-resign-popular-protests-persist-tanjug-news-agency-2025-01-28/,Reuters,2025-01-29
Serbian Prime Minister Miloš Vučević resigns after months of protests - Euronews,https://www.euronews.com/2025/01/28/serbian-prime-minister-milos-vucevic-resigns-after-months-of-protests,Euronews,2025-01-28
Serbian Prime Minister Miloš Vučević resigns after months of protests - Saudi Gazette,https://www.saudigazette.com.sa/article/648936/World/Serbian-Prime-Minister-Milo-scaron-Vuevi-resigns-after-months-of-protests,Saudi Gazette,2025-01-28
Serbian prime minister Milos Vucevic resigns as student-led corruption protests sweep country - The Independent,https://www.the-independent.com/news/world/europe/serbian-pm-resigns-milos-vucevic-protests-b2687635.html,The Independent,2025-01-28
Serbian prime minister quits as anti-corruption protests persist - MSN,https://www.msn.com/en-gb/politics/government/serbian-prime-minister-quits-as-anti-corruption-protests-persist/ar-AA1y1kGl?ocid=BingNewsVerp,MSN,2025-01-29
Serbian prime minister quits as anti-corruption protests persist - The Straits Times,https://www.straitstimes.com/world/serbian-prime-minister-quits-as-anti-corruption-protests-persist,The Straits Times,2025-01-28
Serbian prime minister resigns after weeks of anti-corruption protests - PBS NewsHour,https://www.pbs.org/newshour/world/serbian-prime-minister-resigns-after-weeks-of-anti-corruption-protests,PBS NewsHour,2025-01-28
Serbian prime minister resigns amid anti-corruption protests - The Guardian,https://www.theguardian.com/world/2025/jan/28/serbia-prime-minister-milos-vucevic-resigns-amid-anti-corruption-protests,The Guardian,2025-01-28
Serbian Prime Minister Resigns Following Anti-Corruption Protests Across Serbia - Железнодорожный журнал «Railway Supply»,https://www.railway.supply/en/serbian-prime-minister-resigns-following-anti-corruption-protests-across-serbia/,Железнодорожный журнал «Railway Supply»,2025-01-28
Serbian prime minister to resign as popular protests persist - VOA Asia,https://www.voanews.com/a/serbian-prime-minister-to-resign-as-popular-protests-persist-/7952835.html,VOA Asia,2025-01-28
Serbian students' blockade protest over Novi Sad railway station incident ends - Anadolu Agency | English,https://www.aa.com.tr/en/europe/serbian-students-blockade-protest-over-novi-sad-railway-station-incident-ends/3464758,Anadolu Agency | English,2025-01-28
Student protests in Serbia lead to resignation of Prime Minister Vučević - Eunews,https://www.eunews.it/en/2025/01/28/student-protests-in-serbia-lead-to-resignation-of-prime-minister-vucevic/,Eunews,2025-01-28
Students are at the centre of a political uprising in Serbia. Again - Wonkhe,https://wonkhe.com/blogs/students-are-at-the-centre-of-a-political-uprising-in-serbia/,Wonkhe,2025-01-24
Students force Serbian PM to resign - Channel 4 News,https://www.channel4.com/news/students-force-serbian-pm-to-resign,Channel 4 News,2025-01-28
Students Toppled Serbia’s Stabilocracy – But What Comes Next? - Visegrad Insight,https://visegradinsight.eu/students-toppled-serbias-stabilocracy-but-what-comes-next/,Visegrad Insight,2025-01-29
"Too late and too little: Vucevic leaves, protests remain - Time - Vreme",https://www.vreme.com/en/vesti/prekasno-i-premalo-vucevic-ide-protesti-ostaju/,Vreme,2025-01-28
Turmoil in Serbia: Government Reshuffle Amidst Protests and Controversies - Devdiscourse,https://www.devdiscourse.com/article/politics/3244538-turmoil-in-serbia-government-reshuffle-amidst-protests-and-controversies,Devdiscourse,2025-01-29
UPDATE 1 - Serbia's PM resigns amid mass protests - SeeNews,https://seenews.com/news/update-1-serbias-pm-resigns-amid-mass-protests-1269941,SeeNews,2025-01-28
UPDATE: Serbian PM steps down as nationwide protests persist - TVP World,https://tvpworld.com/84730842/serbian-pm-steps-down-as-nationwide-protests-persist,TVP World,2025-01-28
Vučić hints at early elections in Serbia after prime minister's resignation amid protests - RBC-Ukraine,https://newsukraine.rbc.ua/news/vu-i-hints-at-early-elections-in-serbia-after-1738130318.html,RBC-Ukraine,2025-01-29
What does the resignation of its populist prime minister mean for Serbia? - The Guardian,https://www.theguardian.com/world/2025/jan/28/what-does-resignation-of-populist-prime-minister-milos-vucevic-mean-for-serbia,The Guardian,2025-01-29
Where will the student movement take Serbia next? - European Western Balkans,https://europeanwesternbalkans.com/2025/01/31/where-will-the-student-movement-take-serbia-next/,European Western Balkans,2025-01-31